company_name,ats_type,slug_or_url,careers_url,active,source,added
Heroic Labs,scrape,http://heroiclabs.com,http://heroiclabs.com,no,yc-seed,2026-07-22
Reach,greenhouse,reach,https://reachpower.com,yes,yc-seed,2026-07-22
Verge Genomics,ashby,verge-genomics,http://vergegenomics.com,yes,yc-seed,2026-07-22
Drip Capital,scrape,http://dripcapital.com,http://dripcapital.com,no,yc-seed,2026-07-22
GiveCampus,greenhouse,givecampus,http://go.givecampus.com,yes,yc-seed,2026-07-22
Circle Medical,ashby,circle,https://circlemedical.com,yes,yc-seed,2026-07-22
Shape (ShapeScale),scrape,https://shapescale.com,https://shapescale.com,no,yc-seed,2026-07-22
Xendit,greenhouse,xendit,https://www.xendit.co/,yes,yc-seed,2026-07-22
Go1,scrape,https://go1.com,https://go1.com,no,yc-seed,2026-07-22
Bitmovin,greenhouse,bitmovin,http://bitmovin.com,yes,yc-seed,2026-07-22
Instawork,greenhouse,instawork,http://instawork.com,yes,yc-seed,2026-07-22
Eight Sleep,ashby,eightsleep,http://eightsleep.com,yes,yc-seed,2026-07-22
Human Interest,greenhouse,humaninterest,http://humaninterest.com,yes,yc-seed,2026-07-22
Mux,ashby,mux,http://mux.com,yes,yc-seed,2026-07-22
Lattice,greenhouse,lattice,https://lattice.com,yes,yc-seed,2026-07-22
SOUNDBOKS,scrape,http://soundboks.com,http://soundboks.com,no,yc-seed,2026-07-22
Deepgram,ashby,deepgram,https://www.deepgram.com,yes,yc-seed,2026-07-22
iSono Health,scrape,http://www.isonohealth.com,http://www.isonohealth.com,no,yc-seed,2026-07-22
Tovala,lever,tovala,http://www.tovala.com,yes,yc-seed,2026-07-22
Mason,scrape,http://www.bymason.com,http://www.bymason.com,no,yc-seed,2026-07-22
PocketSuite,scrape,https://pocketsuite.io,https://pocketsuite.io,no,yc-seed,2026-07-22
Castle,ashby,castle,https://castle.io,yes,yc-seed,2026-07-22
Netomi,lever,netomi,https://netomi.com,yes,yc-seed,2026-07-22
Function of Beauty,scrape,http://www.functionofbeauty.com,http://www.functionofbeauty.com,no,yc-seed,2026-07-22
Podium,greenhouse,podium81,https://podium.com,yes,yc-seed,2026-07-22
Apollo.io,greenhouse,apolloio,https://www.apollo.io/,yes,yc-seed,2026-07-22
Thunkable,lever,thunkable,http://thunkable.com,yes,yc-seed,2026-07-22
Gecko Robotics,ashby,gecko-robotics,https://www.geckorobotics.com,yes,yc-seed,2026-07-22
Sendbird,greenhouse,sendbird,https://sendbird.com,yes,yc-seed,2026-07-22
Rappi,scrape,http://www.rappi.com,http://www.rappi.com,no,yc-seed,2026-07-22
BillionToOne,greenhouse,billiontoone,https://www.billiontoone.com,yes,yc-seed,2026-07-22
Vetcove,ashby,vetcove,https://www.vetcove.com,yes,yc-seed,2026-07-22
Joy,scrape,http://withjoy.com,http://withjoy.com,no,yc-seed,2026-07-22
Instrumentl,lever,Instrumentl,https://www.instrumentl.com,yes,yc-seed,2026-07-22
Nova Credit,greenhouse,novacredit,http://www.novacredit.com/,yes,yc-seed,2026-07-22
OneChronos,ashby,onechronos,https://www.onechronos.com/,yes,yc-seed,2026-07-22
Women Who Code,scrape,https://www.womenwhocode.com/,https://www.womenwhocode.com/,no,yc-seed,2026-07-22
Legalist,greenhouse,legalist,https://www.legalist.com,yes,yc-seed,2026-07-22
GoGoGrandparent,scrape,https://gogograndparent.com,https://gogograndparent.com,no,yc-seed,2026-07-22
Meesho,lever,meesho,http://www.meesho.com,yes,yc-seed,2026-07-22
Athelas,ashby,Commure-Athelas,http://athelas.com,yes,yc-seed,2026-07-22
Scale AI,greenhouse,scaleai,http://scale.com,yes,yc-seed,2026-07-22
People.ai,lever,people-ai,https://people.ai,yes,yc-seed,2026-07-22
ClassDojo,ashby,classdojo,http://www.classdojo.com,yes,yc-seed,2026-07-22
Voiceops,scrape,https://voiceops.com,https://voiceops.com,no,yc-seed,2026-07-22
Speak,ashby,speak,http://speak.com,yes,yc-seed,2026-07-22
Bountiful,scrape,https://bountiful.ag/,https://bountiful.ag/,no,yc-seed,2026-07-22
Rippling,scrape,http://rippling.com/,http://rippling.com/,no,yc-seed,2026-07-22
MDalgorithms Inc.,scrape,https://www.mdalgorithms.com,https://www.mdalgorithms.com,no,yc-seed,2026-07-22
Ledger Investing,lever,ledger,https://ledgerinvesting.com/,yes,yc-seed,2026-07-22
Clipboard,ashby,clipboard,https://www.clipboardworks.com/careers,yes,yc-seed,2026-07-22
Ambient.ai,ashby,ambient,https://ambient.ai,yes,yc-seed,2026-07-22
Mednet,ashby,mednet,https://www.themednet.org,yes,yc-seed,2026-07-22
"Veryfi, Inc.",scrape,https://www.veryfi.com/,https://www.veryfi.com/,no,yc-seed,2026-07-22
Collectly,lever,CollectlyInc,http://collectly.co/,yes,yc-seed,2026-07-22
AlemHealth,scrape,https://www.alemhealth.com,https://www.alemhealth.com,no,yc-seed,2026-07-22
AON3D,greenhouse,aon3d,https://www.aon3d.com,yes,yc-seed,2026-07-22
NanoNets,greenhouse,nanonets,https://nanonets.com,yes,yc-seed,2026-07-22
"Wifi Dabba, Inc.",scrape,https://dabba.com,https://dabba.com,no,yc-seed,2026-07-22
OneFin,scrape,https://www.onefin.in,https://www.onefin.in,no,yc-seed,2026-07-22
Faire,greenhouse,faire,https://www.faire.com/,yes,yc-seed,2026-07-22
Ridecell,scrape,https://www.ridecell.com,https://www.ridecell.com,no,yc-seed,2026-07-22
VergeSense,lever,vergesense,http://www.vergesense.com,yes,yc-seed,2026-07-22
Bloom Institute of Technology,lever,bloom,https://www.bloomtech.com,yes,yc-seed,2026-07-22
UpCodes,ashby,upcodes,https://up.codes/,yes,yc-seed,2026-07-22
Standard AI,scrape,https://standard.ai,https://standard.ai,no,yc-seed,2026-07-22
SafeButler,scrape,https://www.safebutler.com,https://www.safebutler.com,no,yc-seed,2026-07-22
Flock Safety,ashby,flock,http://www.flocksafety.com,yes,yc-seed,2026-07-22
Prelim,ashby,prelim,https://prelim.com/,yes,yc-seed,2026-07-22
D-ID,scrape,http://www.d-id.com,http://www.d-id.com,no,yc-seed,2026-07-22
Muzz,scrape,https://muzz.com,https://muzz.com,no,yc-seed,2026-07-22
May Mobility,greenhouse,maymobility,http://maymobility.com,yes,yc-seed,2026-07-22
AssemblyAI,greenhouse,assemblyai,https://www.assemblyai.com,yes,yc-seed,2026-07-22
Routable,scrape,https://routable.com,https://routable.com,no,yc-seed,2026-07-22
Just Appraised,scrape,https://www.justappraised.com,https://www.justappraised.com,no,yc-seed,2026-07-22
Gem,scrape,https://www.gem.com/,https://www.gem.com/,no,yc-seed,2026-07-22
Cashfree Payments,scrape,https://www.cashfree.com/,https://www.cashfree.com/,no,yc-seed,2026-07-22
Proven Group,scrape,https://www.provenskincare.com,https://www.provenskincare.com,no,yc-seed,2026-07-22
Fondo,scrape,https://fondo.com,https://fondo.com,no,yc-seed,2026-07-22
CoinTracker,ashby,cointracker,https://cointracker.com,yes,yc-seed,2026-07-22
Modern Health,greenhouse,modernhealth,https://www.modernhealth.com/,yes,yc-seed,2026-07-22
Vanta,ashby,vanta,https://vanta.com,yes,yc-seed,2026-07-22
BioRender,lever,biorender,https://www.biorender.com,yes,yc-seed,2026-07-22
Sourcify,scrape,https://www.sourcify.com/,https://www.sourcify.com/,no,yc-seed,2026-07-22
Acely,scrape,https://acely.com,https://acely.com,no,yc-seed,2026-07-22
Players' Lounge,scrape,https://playerslounge.co/,https://playerslounge.co/,no,yc-seed,2026-07-22
Substack,ashby,substack,https://substack.com,yes,yc-seed,2026-07-22
Pelago,greenhouse,pelago,https://www.pelagohealth.com,yes,yc-seed,2026-07-22
SafetyWing,scrape,http://www.safetywing.com,http://www.safetywing.com,no,yc-seed,2026-07-22
Aspire,scrape,https://aspireapp.com,https://aspireapp.com,no,yc-seed,2026-07-22
Orangewood Labs,scrape,http://www.orangewood.co,http://www.orangewood.co,no,yc-seed,2026-07-22
Groww,greenhouse,groww,https://groww.in,yes,yc-seed,2026-07-22
ArchForm,scrape,http://archform.com,http://archform.com,no,yc-seed,2026-07-22
CaptivateIQ,lever,captivateiq,https://www.captivateiq.com,yes,yc-seed,2026-07-22
Runa,scrape,http://runahr.com/,http://runahr.com/,no,yc-seed,2026-07-22
Helloverify,scrape,https://www.helloverify.ae,https://www.helloverify.ae,no,yc-seed,2026-07-22
Swayable,greenhouse,swayable,http://swayable.com,yes,yc-seed,2026-07-22
Replit,ashby,replit,https://replit.com,yes,yc-seed,2026-07-22
OWNY,scrape,https://www.owny.com,https://www.owny.com,no,yc-seed,2026-07-22
Klarity,ashby,klarity-ai,http://klarity.ai,yes,yc-seed,2026-07-22
Modern Treasury,ashby,moderntreasury,http://www.moderntreasury.com/,yes,yc-seed,2026-07-22
Verse Medical,ashby,versemedical,http://versemedical.com/,yes,yc-seed,2026-07-22
RevenueCat,ashby,revenuecat,https://www.revenuecat.com/,yes,yc-seed,2026-07-22
Activeloop,scrape,https://activeloop.ai/,https://activeloop.ai/,no,yc-seed,2026-07-22
Data Driven Bioscience,scrape,http://datadrivenbioscience.com,http://datadrivenbioscience.com,no,yc-seed,2026-07-22
Inscribe,ashby,InscribeAI,https://www.inscribe.ai/,yes,yc-seed,2026-07-22
JITX,lever,jitxinc,http://www.jitx.com,yes,yc-seed,2026-07-22
Meru Health,greenhouse,meruhealth,http://www.meruhealth.com,yes,yc-seed,2026-07-22
Duffel,ashby,duffel,https://duffel.com/,yes,yc-seed,2026-07-22
Quickchat AI,scrape,https://quickchat.ai/,https://quickchat.ai/,no,yc-seed,2026-07-22
"DreamCraft Entertainment, Inc.",scrape,https://www.dreamcraft.com/,https://www.dreamcraft.com/,no,yc-seed,2026-07-22
Pine Park Health,greenhouse,pine,http://pineparkhealth.com,yes,yc-seed,2026-07-22
Mytos,lever,mytos,https://www.mytos.bio,yes,yc-seed,2026-07-22
BlueCargo,scrape,http://www.bluecargo.io/,http://www.bluecargo.io/,no,yc-seed,2026-07-22
Alpha Vantage,scrape,https://www.alphavantage.co/,https://www.alphavantage.co/,no,yc-seed,2026-07-22
Canary Technologies,lever,canarytechnologies,https://www.canarytechnologies.com,yes,yc-seed,2026-07-22
Prodigal,greenhouse,prodigal,https://prodigaltech.com/,yes,yc-seed,2026-07-22
ZiffyHomes,scrape,https://www.ziffyhomes.com/,https://www.ziffyhomes.com/,no,yc-seed,2026-07-22
Nestor,scrape,https://nestorup.com,https://nestorup.com,no,yc-seed,2026-07-22
Eden,scrape,https://edenmed.com,https://edenmed.com,no,yc-seed,2026-07-22
Mutiny,ashby,mutiny,https://www.mutinyhq.com,yes,yc-seed,2026-07-22
Leena AI,scrape,https://www.leena.ai,https://www.leena.ai,no,yc-seed,2026-07-22
JuziBot,scrape,https://www.juzibot.com/,https://www.juzibot.com/,no,yc-seed,2026-07-22
Oxygen,scrape,http://getoxygen.com,http://getoxygen.com,no,yc-seed,2026-07-22
Overview,ashby,overview,https://overview.ai,yes,yc-seed,2026-07-22
Flockjay,scrape,https://flockjay.com,https://flockjay.com,no,yc-seed,2026-07-22
Keeper,scrape,https://keepertax.com,https://keepertax.com,no,yc-seed,2026-07-22
Kalshi,greenhouse,kalshi,https://www.kalshi.com,yes,yc-seed,2026-07-22
Centaur,scrape,https://centaur.ai/,https://centaur.ai/,no,yc-seed,2026-07-22
Sorting Robotics,scrape,https://www.sortingrobotics.com/,https://www.sortingrobotics.com/,no,yc-seed,2026-07-22
Dyneti Technologies,ashby,dyneti,http://www.dyneti.com,yes,yc-seed,2026-07-22
Postscript,greenhouse,postscript,https://postscript.io,yes,yc-seed,2026-07-22
Middesk,ashby,middesk,http://www.middesk.com,yes,yc-seed,2026-07-22
GoLinks,ashby,golinks,https://www.golinks.io,yes,yc-seed,2026-07-22
Community Phone Company,greenhouse,community,https://www.communityphone.org/,yes,yc-seed,2026-07-22
Sapling.ai,lever,sapling,https://sapling.ai,yes,yc-seed,2026-07-22
Nabis,greenhouse,nabis,https://www.nabis.com/,yes,yc-seed,2026-07-22
Swadesh,scrape,http://www.swadesh.co,http://www.swadesh.co,no,yc-seed,2026-07-22
Okteto,scrape,https://okteto.com,https://okteto.com,no,yc-seed,2026-07-22
Ashby,ashby,ashby,https://www.ashbyhq.com,yes,yc-seed,2026-07-22
Bunkerhill Health,ashby,bunkerhillhealth,http://bunkerhillhealth.com,yes,yc-seed,2026-07-22
Handle,scrape,https://www.handle.com,https://www.handle.com,no,yc-seed,2026-07-22
Landed,scrape,https://www.gotlanded.com,https://www.gotlanded.com,no,yc-seed,2026-07-22
Deel,ashby,Deel,https://www.deel.com/,yes,yc-seed,2026-07-22
Axel Travel,ashby,axel,https://helloaxel.com/,yes,yc-seed,2026-07-22
Doppler,ashby,doppler,https://doppler.com,yes,yc-seed,2026-07-22
Alpaca,greenhouse,alpaca,https://alpaca.markets/,yes,yc-seed,2026-07-22
Dover,scrape,https://dover.com,https://dover.com,no,yc-seed,2026-07-22
NALA,scrape,http://nala.com,http://nala.com,no,yc-seed,2026-07-22
Zippi,lever,zippi,https://www.zippi.com.br,yes,yc-seed,2026-07-22
Beacons,ashby,beacons,https://beacons.ai/,yes,yc-seed,2026-07-22
Cityfurnish,scrape,https://cityfurnish.com/,https://cityfurnish.com/,no,yc-seed,2026-07-22
Inito,scrape,https://www.inito.com/,https://www.inito.com/,no,yc-seed,2026-07-22
Verto,ashby,verto,http://www.vertofx.com,yes,yc-seed,2026-07-22
Numero,scrape,https://www.numero.ai,https://www.numero.ai,no,yc-seed,2026-07-22
Shef,scrape,https://www.shef.com,https://www.shef.com,no,yc-seed,2026-07-22
Vouch,scrape,http://vouch.us,http://vouch.us,no,yc-seed,2026-07-22
Dex,ashby,dex,https://getdex.com,yes,yc-seed,2026-07-22
Apero Health,scrape,https://www.aperohealth.com,https://www.aperohealth.com,no,yc-seed,2026-07-22
Method Financial,greenhouse,method,https://methodfi.com,yes,yc-seed,2026-07-22
Pillar,scrape,https://www.pillar.io,https://www.pillar.io,no,yc-seed,2026-07-22
Odeko,greenhouse,odeko,http://www.odeko.com,yes,yc-seed,2026-07-22
Short Story,ashby,shortstory,https://shortstorybox.com,yes,yc-seed,2026-07-22
Zeal,scrape,https://www.zeal.com,https://www.zeal.com,no,yc-seed,2026-07-22
Pair Team,greenhouse,pairteam,https://pairteam.com/,yes,yc-seed,2026-07-22
Prolific,greenhouse,prolific,https://www.prolific.com,yes,yc-seed,2026-07-22
Embrace,greenhouse,embrace,https://embrace.io,yes,yc-seed,2026-07-22
Yummy Future,scrape,https://yummy-future.com,https://yummy-future.com,no,yc-seed,2026-07-22
Banner,scrape,https://withbanner.com,https://withbanner.com,no,yc-seed,2026-07-22
Canix,scrape,https://www.canix.com/,https://www.canix.com/,no,yc-seed,2026-07-22
Rutter,ashby,rutter,https://rutter.com,yes,yc-seed,2026-07-22
Wasmer,scrape,https://wasmer.io,https://wasmer.io,no,yc-seed,2026-07-22
Binks,scrape,https://getbinks.com/,https://getbinks.com/,no,yc-seed,2026-07-22
Vahan,scrape,https://vahan.ai,https://vahan.ai,no,yc-seed,2026-07-22
FamPay,lever,fampay,https://fampay.in,yes,yc-seed,2026-07-22
Recidiviz,greenhouse,recidiviz,https://www.recidiviz.org/,yes,yc-seed,2026-07-22
InEvent,scrape,https://inevent.com,https://inevent.com,no,yc-seed,2026-07-22
Freshpaint,ashby,freshpaint,https://freshpaint.io,yes,yc-seed,2026-07-22
Curri,ashby,curri,http://www.curri.com,yes,yc-seed,2026-07-22
Deepnote,ashby,deepnote,https://www.deepnote.com/,yes,yc-seed,2026-07-22
Taskade,scrape,https://www.taskade.com,https://www.taskade.com,no,yc-seed,2026-07-22
Motion,scrape,https://www.usemotion.com/,https://www.usemotion.com/,no,yc-seed,2026-07-22
Karat Financial,greenhouse,karat,http://trykarat.com,yes,yc-seed,2026-07-22
Accord,ashby,accord,https://inaccord.com,yes,yc-seed,2026-07-22
Paragon,ashby,paragon,http://useparagon.com,yes,yc-seed,2026-07-22
Pulley,greenhouse,pulley,https://pulley.com,yes,yc-seed,2026-07-22
Ophelia,greenhouse,ophelia,https://ophelia.com,yes,yc-seed,2026-07-22
OpenUnit,scrape,https://www.openunit.com/,https://www.openunit.com/,no,yc-seed,2026-07-22
Ditto,ashby,ditto,http://dittowords.com,yes,yc-seed,2026-07-22
Handoff,lever,handoff,https://www.handoff.ai/,yes,yc-seed,2026-07-22
Haven,greenhouse,haven,http://www.havenservicing.com,yes,yc-seed,2026-07-22
Eze,scrape,https://www.ezeit.ai/,https://www.ezeit.ai/,no,yc-seed,2026-07-22
Benepass,ashby,benepass,http://www.getbenepass.com,yes,yc-seed,2026-07-22
Signadot,scrape,https://www.signadot.com/,https://www.signadot.com/,no,yc-seed,2026-07-22
Whatnot,scrape,https://www.whatnot.com,https://www.whatnot.com,no,yc-seed,2026-07-22
Ello,ashby,ello,https://www.ello.com,yes,yc-seed,2026-07-22
BuildBuddy,scrape,https://buildbuddy.io,https://buildbuddy.io,no,yc-seed,2026-07-22
Vori,ashby,vori,https://www.vori.com,yes,yc-seed,2026-07-22
Riot,scrape,https://tryriot.com/,https://tryriot.com/,no,yc-seed,2026-07-22
PostHog,ashby,posthog,https://www.posthog.com,yes,yc-seed,2026-07-22
AIOS,ashby,aios,https://www.aiosmedical.com/,yes,yc-seed,2026-07-22
Junction,ashby,junction,https://www.junction.com/,yes,yc-seed,2026-07-22
Skypher,scrape,https://skypher.co,https://skypher.co,no,yc-seed,2026-07-22
Recurrency,scrape,http://www.recurrency.com,http://www.recurrency.com,no,yc-seed,2026-07-22
PostEra,lever,postera,https://postera.ai/,yes,yc-seed,2026-07-22
DeepSource,scrape,https://deepsource.com/,https://deepsource.com/,no,yc-seed,2026-07-22
Morphle Labs,scrape,https://morphlelabs.com,https://morphlelabs.com,no,yc-seed,2026-07-22
adyn,scrape,https://adyn.com,https://adyn.com,no,yc-seed,2026-07-22
BeGo,scrape,http://www.bego.ai,http://www.bego.ai,no,yc-seed,2026-07-22
Ramani,scrape,http://www.ramani.io,http://www.ramani.io,no,yc-seed,2026-07-22
Nomic Bio,ashby,nomic,http://www.nomic.bio,yes,yc-seed,2026-07-22
Stable,ashby,stable,https://useStable.com,yes,yc-seed,2026-07-22
Recall.ai,greenhouse,recall,https://www.recall.ai,yes,yc-seed,2026-07-22
borong,scrape,https://www.borong.com/,https://www.borong.com/,no,yc-seed,2026-07-22
99minutos,scrape,https://99minutos.com,https://99minutos.com,no,yc-seed,2026-07-22
Living Carbon,lever,livingcarbon,https://www.livingcarbon.com,yes,yc-seed,2026-07-22
Belvo,ashby,belvo,https://belvo.com,yes,yc-seed,2026-07-22
Zip,ashby,zip,https://ziphq.com/,yes,yc-seed,2026-07-22
Luminai,ashby,luminai,https://www.luminai.com,yes,yc-seed,2026-07-22
Roboflow,ashby,roboflow,https://roboflow.com,yes,yc-seed,2026-07-22
SuperTokens,scrape,https://supertokens.com,https://supertokens.com,no,yc-seed,2026-07-22
Datafold,ashby,datafold,https://datafold.com,yes,yc-seed,2026-07-22
Lightdash,ashby,lightdash,http://lightdash.com/,yes,yc-seed,2026-07-22
Blue Onion,lever,blue,https://www.blueonion.ai/,yes,yc-seed,2026-07-22
AtoB,ashby,atob,https://atob.com/,yes,yc-seed,2026-07-22
QuestDB,scrape,https://questdb.com/,https://questdb.com/,no,yc-seed,2026-07-22
Seam,scrape,https://seam.co,https://seam.co,no,yc-seed,2026-07-22
Safepay,scrape,https://getsafepay.pk/,https://getsafepay.pk/,no,yc-seed,2026-07-22
Explorex,scrape,https://explorex.co,https://explorex.co,no,yc-seed,2026-07-22
Pave,greenhouse,paveakatroveinformationtechnologies,https://pave.com,yes,yc-seed,2026-07-22
Hypotenuse AI,scrape,https://hypotenuse.ai/,https://hypotenuse.ai/,no,yc-seed,2026-07-22
Swif.ai,scrape,https://www.swif.ai,https://www.swif.ai,no,yc-seed,2026-07-22
Blissway,ashby,blissway,https://www.blissway.com/,yes,yc-seed,2026-07-22
doola,lever,doola,https://www.doola.com/,yes,yc-seed,2026-07-22
Seal,scrape,https://seal.run,https://seal.run,no,yc-seed,2026-07-22
Atomic,ashby,atomic,https://www.atomicvest.com/,yes,yc-seed,2026-07-22
Hellometer,scrape,https://hellometer.io/,https://hellometer.io/,no,yc-seed,2026-07-22
Vitable Health,ashby,vitable,https://vitablehealth.com,yes,yc-seed,2026-07-22
BIK,scrape,https://bik.ai/,https://bik.ai/,no,yc-seed,2026-07-22
Notabene,ashby,notabene,https://notabene.id,yes,yc-seed,2026-07-22
Flint,ashby,flint,https://withflint.com,yes,yc-seed,2026-07-22
Minimum,scrape,https://minimum.com,https://minimum.com,no,yc-seed,2026-07-22
Laylo,scrape,https://laylo.com,https://laylo.com,no,yc-seed,2026-07-22
Arketa,ashby,arketa,https://arketa.com,yes,yc-seed,2026-07-22
CarbonChain,greenhouse,carbonchain,https://carbonchain.com,yes,yc-seed,2026-07-22
Ready,ashby,ready,https://ready.net,yes,yc-seed,2026-07-22
Taktile,ashby,taktile,http://www.taktile.com,yes,yc-seed,2026-07-22
Draftwise,scrape,https://www.draftwise.com/,https://www.draftwise.com/,no,yc-seed,2026-07-22
Spenmo,scrape,https://summitglobal.com/,https://summitglobal.com/,no,yc-seed,2026-07-22
Afriex,scrape,https://www.afriexapp.com,https://www.afriexapp.com,no,yc-seed,2026-07-22
Vena Vitals,scrape,http://venavitals.com,http://venavitals.com,no,yc-seed,2026-07-22
Rally,scrape,https://rally.video,https://rally.video,no,yc-seed,2026-07-22
Inspectify,scrape,http://www.inspectify.com,http://www.inspectify.com,no,yc-seed,2026-07-22
Zuddl,scrape,http://www.zuddl.com,http://www.zuddl.com,no,yc-seed,2026-07-22
Finch,lever,finch,https://tryfinch.com,yes,yc-seed,2026-07-22
Fieldguide,ashby,fieldguide,http://fieldguide.io,yes,yc-seed,2026-07-22
Matter,scrape,https://getmatter.app,https://getmatter.app,no,yc-seed,2026-07-22
Gather,greenhouse,gather,https://www.gather.town/,yes,yc-seed,2026-07-22
Abacum,ashby,abacum,https://www.abacum.ai/,yes,yc-seed,2026-07-22
Runway,ashby,runway,https://runway.team,yes,yc-seed,2026-07-22
authzed,ashby,authzed,https://authzed.com,yes,yc-seed,2026-07-22
Humaans,ashby,humaans,https://humaans.io,yes,yc-seed,2026-07-22
Albedo,greenhouse,albedo,https://albedo.com,yes,yc-seed,2026-07-22
RocketSDR,scrape,https://rocketsdr.ai,https://rocketsdr.ai,no,yc-seed,2026-07-22
MedMe Health,scrape,https://www.medmehealth.com,https://www.medmehealth.com,no,yc-seed,2026-07-22
Hapi,scrape,https://hapi.trade/,https://hapi.trade/,no,yc-seed,2026-07-22
SigNoz,ashby,signoz,https://signoz.io,yes,yc-seed,2026-07-22
GroMo,scrape,https://www.gromo.in,https://www.gromo.in,no,yc-seed,2026-07-22
Nourish,greenhouse,usenourish,https://nourish.com,yes,yc-seed,2026-07-22
SpruceID,ashby,spruceid,https://www.spruceid.com,yes,yc-seed,2026-07-22
Weekday,scrape,https://weekday.works,https://weekday.works,no,yc-seed,2026-07-22
Smartcuts,lever,smartcuts,https://trysmartcuts.com/,yes,yc-seed,2026-07-22
Pesto,scrape,https://www.getpesto.com/,https://www.getpesto.com/,no,yc-seed,2026-07-22
Fractional,scrape,https://fractional.app,https://fractional.app,no,yc-seed,2026-07-22
Cyble,scrape,https://cyble.com/,https://cyble.com/,no,yc-seed,2026-07-22
